libelle_region,Classe_DPE,Nombre_logements
Auvergne-Rhône-Alpes,C,5.0
Hauts-de-France,C,8.0
Hauts-de-France,C,1.0
Hauts-de-France,C,6.0
Hauts-de-France,C,1.0
Hauts-de-France,C,1.0
Hauts-de-France,C,1.0
Hauts-de-France,C,1.0
Hauts-de-France,C,7.0
Hauts-de-France,C,0.0
Hauts-de-France,C,1.0
Hauts-de-France,C,10.0
Hauts-de-France,C,2.0
Hauts-de-France,C,1.0
Hauts-de-France,C,1.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,4.0
Auvergne-Rhône-Alpes,C,41.0
Auvergne-Rhône-Alpes,C,5.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,2.0
Auvergne-Rhône-Alpes,C,2.0
Auvergne-Rhône-Alpes,C,12.0
Auvergne-Rhône-Alpes,C,167.0
Auvergne-Rhône-Alpes,C,2.0
Provence-Alpes-Côte d'Azur,C,0.0
Provence-Alpes-Côte d'Azur,C,4.0
Provence-Alpes-Côte d'Azur,C,1.0
Provence-Alpes-Côte d'Azur,C,2.0
Provence-Alpes-Côte d'Azur,C,16.0
Provence-Alpes-Côte d'Azur,C,8.0
Provence-Alpes-Côte d'Azur,C,0.0
Provence-Alpes-Côte d'Azur,C,3.0
Provence-Alpes-Côte d'Azur,C,7.0
Provence-Alpes-Côte d'Azur,C,0.0
Provence-Alpes-Côte d'Azur,C,137.0
Provence-Alpes-Côte d'Azur,C,45.0
Provence-Alpes-Côte d'Azur,C,45.0
Provence-Alpes-Côte d'Azur,C,2.0
Provence-Alpes-Côte d'Azur,C,12.0
Provence-Alpes-Côte d'Azur,C,11.0
Provence-Alpes-Côte d'Azur,C,4.0
Provence-Alpes-Côte d'Azur,C,36.0
Provence-Alpes-Côte d'Azur,C,37.0
Provence-Alpes-Côte d'Azur,C,28.0
Provence-Alpes-Côte d'Azur,C,76.0
Provence-Alpes-Côte d'Azur,C,1.0
